Year,Title,Artist,Weeks,Rank
1962,Little Tin Soldier,The Toy Dolls,4,89
1962,Shake Me I Rattle (Squeeze Me I Cry),Marion Worth,8,90
1962,Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra,13,91
1962,"The 2,000 Pound Bee (Part 2)",The Ventures,4,92
1962,He's Sure The Boy I Love,The Crystals,12,93
1962,Sam's Song,Dean Martin & Sammy Davis Jr.,3,94
1962,Lover Come Back To Me,The Cleftones,1,95
1962,Hey Paula,Paul and Paula,15,96
1962,The (Bossa Nova) Bird,The Dells,3,97
1962,What To Do With Laurie,Mike Clifford,7,98
1962,"Silent Night, Holy Night",Mahalia Jackson,1,99
1962,The Popeye Waddle,Don Covay,7,100
1963,Dominique,The Singing Nun (Soeur Sourire),13,1
1963,There! I've Said It Again,Bobby Vinton,13,2
1963,Louie Louie,The Kingsmen,18,3
1963,Since I Fell For You,Lenny Welch,16,4
1963,You Don't Have To Be A Baby To Cry,The Caravelles,13,5
1963,Drip Drop,Dion Di Muci,11,6
1963,Forget Him,Bobby Rydell,16,7
1963,Popsicles And Icicles,The Murmaids,14,8
1963,Talk Back Trembling Lips,Johnny Tillotson,13,9
1963,Be True To Your School,The Beach Boys,12,10
1963,Midnight Mary,Joey Powers,13,11
1963,Quicksand,Martha & The Vandellas,12,12
1963,The Nitty Gritty,Shirley Ellis,14,13
1963,Loddy Lo,Chubby Checker,13,14
1963,Wives And Lovers,Jack Jones,14,15
1963,I'm Leaving It Up To You,Dale & Grace,15,16
1963,Everybody,Tommy Roe,14,17
1963,The Boy Next Door,The Secrets,10,18
1963,Pretty Paper,Roy Orbison,7,19
1963,As Usual,Brenda Lee,11,20
1963,Surfin' Bird,The Trashmen,13,21
1963,Can I Get A Witness,Marvin Gaye,16,22
1963,Have You Heard,The Duprees featuring Joey Vann,10,23
1963,Drag City,Jan & Dean,11,24
1963,Kansas City,Trini Lopez,10,25
1963,Wonderful Summer,Robin Ward,10,26
1963,In My Room,The Beach Boys,11,27
1963,She's A Fool,Lesley Gore,15,28
1963,Walking The Dog,Rufus Thomas,14,29
1963,Turn Around,Dick and DeeDee,9,30
1963,For Your Precious Love,Garnet Mimms & The Enchanters,9,31
1963,That Lucky Old Sun,Ray Charles,9,32
1963,Bad Girl,Neil Sedaka,8,33
1963,Little Red Rooster,Sam Cooke,10,34
1963,Stewball,"Peter, Paul & Mary",7,35
1963,Baby Don't You Weep,Garnet Mimms & The Enchanters,9,36
1963,Whispering,Nino Tempo & April Stevens,9,37
1963,Out Of Limits,The Marketts,14,38
1963,Need To Belong,Jerry Butler,11,39
1963,When The Lovelight Starts Shining Through His Eyes,The Supremes,11,40
1963,I Have A Boyfriend,The Chiffons,10,41
1963,Somewhere,The Tymes,11,42
1963,Living A Lie,Al Martino,10,43
1963,Twenty Four Hours From Tulsa,Gene Pitney,11,44
1963,I Gotta Dance To Keep From Crying,The Miracles,10,45
1963,Hey Little Cobra,The Rip Chords,14,46
1963,Sugar Shack,Jimmy Gilmer And The Fireballs,15,47
1963,It's All Right,The Impressions,14,48
1963,Tra La La La Suzy,Dean And Jean,13,49
1963,Rags To Riches,Sunny & The Sunliners,7,50
1963,Girls Grow Up Faster Than Boys,The Cookies,11,51
1963,Daisy Petal Pickin',Jimmy Gilmer And The Fireballs,11,52
1963,Long Tall Texan,Murry Kellum,11,53
1963,Misery,The Dynamics,10,54
1963,Hooka Tooka,Chubby Checker,14,55
1963,The Marvelous Toy,The Chad Mitchell Trio,9,56
1963,The Impossible Happened,Little Peggy March,6,57
1963,As Long As I Know He's Mine,The Marvelettes,13,58
1963,Today's Teardrops,Rick Nelson,9,59
1963,It's All In The Game,Cliff Richard,13,60
1963,For You,Rick Nelson,11,61
1963,Ally Ally Oxen Free,The Kingston Trio,7,62
1963,"Baby, I Love You",The Ronettes,9,63
1963,Anyone Who Had A Heart,Dionne Warwick,14,64
1963,Charade,Henry Mancini And His Orchestra,11,65
1963,Be Mad Little Girl,Bobby Darin,7,66
1963,I Can't Stop Talking About You,Steve & Eydie,9,67
1963,That Boy John,The Raindrops,8,68
1963,Dawn,The David Rockingham Trio,8,69
1963,Dumb Head,Ginny Arnell,12,70
1963,Bon-Doo-Wah,The Orlons,6,71
1963,You Don't Own Me,Lesley Gore,13,72
1963,Comin' In The Back Door,The Baja Marimba Band,9,73
1963,Begging To You,Marty Robbins,5,74
1963,What Kind Of Fool (Do You Think I Am),The Tams,14,75
1963,Come Dance With Me,Jay & The Americans,8,76
1963,Watch Your Step,Brooks O'Dell,9,77
1963,True Love Goes On And On,Burl Ives,6,78
1963,What's Easy For Two Is So Hard For One,Mary Wells,17,79
1963,Please,Frank Ifield,6,80
1963,The Little Boy,Tony Bennett,9,81
1963,We Belong Together,Jimmy Velvet,7,82
1963,Letter From Sherry,Dale Ward,11,83
1963,"My One And Only, Jimmy Boy",The Girlfriends,7,84
1963,In The Summer Of His Years,Connie Francis,6,85
1963,The Cheer Leader,Paul Petersen,7,86
1963,Baby's Gone,Gene Thomas,5,87
1963,Cold Cold Winter,The Pixies Three,5,88
1963,Hootenanny Saturday Night,The Brothers Four,3,89
1963,I'll Search My Heart,Johnny Mathis,4,90
1963,The Shelter Of Your Arms,Sammy Davis Jr.,17,91
1963,Did You Have A Happy Birthday?,Paul Anka,3,92
1963,Here Comes The Boy,Tracey Dey,3,93
1963,Harlem Shuffle,Bob And Earl,11,94
1963,Pink Dominos,The Crescents Featuring Chiyo,10,95
1963,Snap Your Fingers,Barbara Lewis,5,96
1963,The Feeling Is Gone,Bobby Bland,3,97
1963,For Your Sweet Love,The Cascades,3,98
1963,Never Love A Robin,Bobby Vee,1,99
1963,Where Or When,The Lettermen,2,100
1964,I Feel Fine,The Beatles,11,1
1964,Come See About Me,The Supremes,14,2
1964,Mr. Lonely,Bobby Vinton,15,3
1964,She's A Woman,The Beatles,9,4
1964,She's Not There,The Zombies,15,5
1964,Goin' Out Of My Head,Little Anthony And The Imperials,14,6
1964,Ringo,Lorne Greene,12,7
1964,"Dance, Dance, Dance",The Beach Boys,11,8
1964,The Jerk,The Larks,13,9
1964,Time Is On My Side,The Rolling Stones,13,10
1964,Love Potion Number Nine,The Searchers,14,11
1964,Amen,The Impressions,11,12
1964,Sha La La,Manfred Mann,12,13
1964,The Wedding,Julie Rogers,11,14
1964,I'm Gonna Be Strong,Gene Pitney,12,15
1964,Mountain Of Love,Johnny Rivers,11,16
1964,I'm Into Something Good,Herman's Hermits,13,17
1964,You Really Got Me,The Kinks,15,18
1964,Any Way You Want It,The Dave Clark Five,12,19
1964,Saturday Night At The Movies,The Drifters,9,20
1964,"My Love, Forgive Me (Amore, Scusami)",Robert Goulet,15,21
1964,Leader Of The Pack,The Shangri-Las,12,22
1964,Keep Searchin' (We'll Follow The Sun),Del Shannon,14,23
1964,Willow Weep For Me,Chad & Jeremy,13,24
1964,Oh No Not My Baby,Maxine Brown,13,25
1964,As Tears Go By,Marianne Faithfull,9,26
1964,How Sweet It Is To Be Loved By You,Marvin Gaye,14,27
1964,Leader Of The Laundromat,The Detergents,8,28
1964,Too Many Fish In The Sea,The Marvelettes,12,29
1964,Dear Heart,Andy Williams,11,30
1964,She Understands Me,Johnny Tillotson,11,31
1964,Thou Shalt Not Steal,Dick and DeeDee,13,32
1964,Baby Love,The Supremes,13,33
1964,You've Lost That Lovin' Feelin',The Righteous Brothers,16,34
1964,One More Time,The Ray Charles Singers,10,35
1964,Right Or Wrong,Ronnie Dove,10,36
1964,Dear Heart,Jack Jones,11,37
1964,Walking In The Rain,The Ronettes,11,38
1964,Wild One,Martha & The Vandellas,7,39
1964,Walk Away,Matt Monro,9,40
1964,Downtown,Petula Clark,15,41
1964,Don't Forget I Still Love You,Bobbi Martin,12,42
1964,Do-Wacka-Do,Roger Miller,8,43
1964,"Run, Run, Run",The Gestures,8,44
1964,Smile,Betty Everett & Jerry Butler,7,45
1964,Roses Are Red My Love,The You Know Who Group!,9,46
1964,Since I Don't Have You,Chuck Jackson,8,47
1964,What Now,Gene Chandler,8,48
1964,Boom Boom,The Animals,7,49
1964,Ask Me,Elvis Presley With The Jordanaires,12,50
1964,I'll Be There,Gerry And The Pacemakers,10,51
1964,Hawaii Tattoo,The Waikikis,9,52
1964,The 81,Candy & The Kisses,10,53
1964,(There's) Always Something There To Remind Me,Sandie Shaw,7,54
1964,Promised Land,Chuck Berry,7,55
1964,Without The One You Love (Life's Not Worth While),Four Tops,5,56
1964,You're Nobody Till Somebody Loves You,Dean Martin,9,57
1964,I'm Gonna Love You Too,The Hullaballoos,9,58
1964,Hold What You've Got,Joe Tex,11,59
1964,The Name Game,Shirley Ellis,14,60
1964,Lovin' Place,Gale Garnett,9,61
1964,Makin' Whoopee,Ray Charles,8,62
1964,Seven Letters,Ben E. King,7,63
1964,Sometimes I Wonder,Major Lance,8,64
1964,Come On Do The Jerk,The Miracles,8,65
1964,Getting Mighty Crowded,Betty Everett,6,66
1964,The Price,Solomon Burke,5,67
1964,I Can't Stop,The Honeycombs,7,68
1964,All Day And All Of The Night,The Kinks,12,69
1964,Do It Right,Brook Benton,4,70
1964,He's My Guy,Irma Thomas,8,71
1964,It's All Over,Walter Jackson,6,72
1964,I Found A Love Oh What A Love,Jo Ann & Troy,6,73
1964,Do Anything You Wanna (Part I),Harold Betters,8,74
1964,Have You Looked Into Your Heart,Jerry Vale,10,75
1964,Somewhere In Your Heart,Frank Sinatra,10,76
1964,Can You Jerk Like Me,The Contours,7,77
1964,Dear Heart,Henry Mancini And His Orchestra,7,78
1964,You'll Always Be The One I Love,Dean Martin,5,79
1964,Scratchy,Travis Wammack,6,80
1964,Let's Lock The Door (And Throw Away The Key),Jay & The Americans,10,81
1964,Danny Boy,Patti LaBelle And The Blue Belles,4,82
1964,Give Him A Great Big Kiss,The Shangri-Las,9,83
1964,Hey-Da-Da-Dow,The Dolphins,7,84
1964,Bucket T,Ronny And The Daytonas,7,85
1964,"The Sidewinder, Part 1",Lee Morgan,4,86
1964,Percolatin',Willie Mitchell,3,87
1964,Little Bell,The Dixie Cups,9,88
1964,(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee,5,89
1964,Look Of Love,Lesley Gore,9,90
1964,You're The Only World I Know,Sonny James,6,91
1964,My Buddy Seat,The Hondells,4,92
1964,Maybe,The Shangri-Las,2,93
1964,Endless Sleep,Hank Williams Jr.,4,94
1964,Have Mercy Baby,James Brown And The Famous Flames,2,95
1964,Voice Your Choice,The Radiants,9,96
1964,Take This Hurt Off Me,Don Covay,2,97
1964,No Arms Can Ever Hold You,The Bachelors,10,98
1964,Are You Still My Baby,The Shirelles,4,99
1964,Do What You Do Do Well,Ned Miller,9,100
1965,Over And Over,The Dave Clark Five,12,1
1965,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,14,2
1965,I Got You (I Feel Good),James Brown And The Famous Flames,12,3
1965,Let's Hang On!,The 4 Seasons Featuring the Sound of Frankie Valli,16,4
1965,The Sound Of Silence,Simon & Garfunkel,14,5
1965,Make The World Go Away,Eddy Arnold,14,6
1965,Fever,The McCoys,11,7
1965,England Swings,Roger Miller,11,8
1965,Ebb Tide,The Righteous Brothers,9,9
1965,I Can Never Go Home Anymore,The Shangri-Las,11,10
1965,We Can Work It Out,The Beatles,12,11
1965,Don't Think Twice,The Wonder Who?,11,12
1965,Flowers On The Wall,The Statler Brothers,13,13
1965,Puppet On A String,Elvis Presley With The Jordanaires,10,14
1965,Hang On Sloopy,Ramsey Lewis Trio,8,15
1965,Five O'Clock World,The Vogues,14,16
1965,One Has My Name (The Other Has My Heart),Barry Young,11,17
1965,Sunday And Me,Jay & The Americans,8,18
1965,I Will,Dean Martin,10,19
1965,I Hear A Symphony,The Supremes,10,20
1965,The Little Girl I Once Knew,The Beach Boys,8,21
1965,She's Just My Style,Gary Lewis And The Playboys,12,22
1965,You Didn't Have To Be So Nice,The Lovin' Spoonful,12,23
1965,It's My Life,The Animals,12,24
1965,I'm A Man,The Yardbirds,10,25
1965,Taste Of Honey,Herb Alpert & The Tijuana Brass,16,26
1965,1-2-3,Len Barry,15,27
1965,Day Tripper,The Beatles,10,28
1965,The Duck,Jackie Lee,14,29
1965,Spanish Eyes,Al Martino,12,30
1965,Let's Get Together,We Five,8,31
1965,Apple Of My Eye,Roy Head And The Traits,8,32
1965,No Matter What Shape (Your Stomach's In),The T-Bones,13,33
1965,Something About You,Four Tops,7,34
1965,Satin Pillows,Bobby Vinton,10,35
1965,Get Off Of My Cloud,The Rolling Stones,12,36
1965,Princess In Rags,Gene Pitney,8,37
1965,Just Like Me,Paul Revere & The Raiders Featuring Mark Lindsay,15,38
1965,"Run, Baby Run (Back Into My Arms)",The Newbeats,13,39
1965,Rescue Me,Fontella Bass,13,40
